,cena,powierzchnia,liczba_pokoi,stan_wykonczenia,balkon_ogrod_taras,czynsz,miejsce_parkingowe,ogrzewanie,lokalizacja
0,756438,54.42,3,do wykończenia,balkon,,garaż/miejsce parkingowe,gazowe,"ul. Tuchowska, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
1,860688,61.92,3,do wykończenia,balkon,,garaż/miejsce parkingowe,gazowe,"ul. Tuchowska, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
2,1228482,88.38,3,do wykończenia,balkon,,garaż/miejsce parkingowe,gazowe,"ul. Tuchowska, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
3,865000,85.22,4,do wykończenia,balkon,,garaż/miejsce parkingowe,inne,"ul. Mała Góra, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
4,439000,31.73,1,do remontu,,330,,miejskie,"Nowa Huta, Nowa Huta, Kraków, małopolskie"
5,795000,54.3,3,,,,,,"ul. Na Błonie, Bronowice, Bronowice, Kraków, małopolskie"
6,1475000,67.5,2,do zamieszkania,balkon,,,,"ul. Celna, Stare Podgórze, Podgórze, Kraków, małopolskie"
7,605038,37.58,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
8,795375,63.63,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
9,616317,41.93,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
10,,71.92,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Józefa Wybickiego 5, Krowodrza Górka, Prądnik Biały, Kraków, małopolskie"
11,595000,61.98,3,do wykończenia,balkon,,,,"ul. Kantorowicka, Zesławice, Wzgórza Krzesławickie, Kraków, małopolskie"
12,616465,44.35,2,do zamieszkania,"balkon, ogródek",300,garaż/miejsce parkingowe,gazowe,"ul. Marcina Bielskiego, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie"
13,845000,50.0,1,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Pilotów 81, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
14,1372000,84.63,4,,balkon,,garaż/miejsce parkingowe,,"Bronowice, Bronowice, Kraków, małopolskie"
15,1385000,83.06,4,,"balkon, ogródek",,garaż/miejsce parkingowe,,"Bronowice, Bronowice, Kraków, małopolskie"
16,899000,63.0,3,do zamieszkania,,,,miejskie,"Krowodrza, Krowodrza, Kraków, małopolskie"
17,457000,46.92,3,do zamieszkania,balkon,460,garaż/miejsce parkingowe,inne,"Jaworowa, Wieliczka, Wieliczka, wielicki, małopolskie"
18,680000,44.7,2,do wykończenia,balkon,480,garaż/miejsce parkingowe,miejskie,"ul. Lipska, Płaszów, Podgórze, Kraków, małopolskie"
19,899560,52.3,3,do wykończenia,"balkon, ogródek, taras",550,garaż/miejsce parkingowe,inne,"ul. Królowej Jadwigi, Wola Justowska, Zwierzyniec, Kraków, małopolskie"
20,859000,70.01,4,do wykończenia,balkon,700,garaż/miejsce parkingowe,miejskie,"ul. Józefa Rzebika, Płaszów, Podgórze, Kraków, małopolskie"
21,499000,31.95,1,do wykończenia,balkon,350,garaż/miejsce parkingowe,miejskie,"ul. Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
22,1150000,61.0,3,do wykończenia,"balkon, taras",600,garaż/miejsce parkingowe,inne,"ul. Zarzecze, Bronowice, Bronowice, Kraków, małopolskie"
23,3890000,96.96,4,do zamieszkania,balkon,,,miejskie,"ul. Studencka, Piasek, Stare Miasto, Kraków, małopolskie"
24,135000,14.8,1,,,,,,"ul. Jana Kiepury 14, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
25,135000,13.1,1,,,100,garaż/miejsce parkingowe,kotłownia,"ul. Juliusza Kadena-Bandrowskiego 5, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
26,680000,45.0,2,do zamieszkania,balkon,,,miejskie,"ul. ks. Józefa Kurzei, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
27,2358000,131.0,3,,balkon,320,,,"ul. Bonerowska, Wesoła Zachód, Stare Miasto, Kraków, małopolskie"
28,2200000,142.0,5,do wykończenia,"balkon, taras",,garaż/miejsce parkingowe,miejskie,"ul. Śliczna, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
29,449000,35.0,1,do zamieszkania,balkon,550,,miejskie,"ul. Wincentego Witosa, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
30,549000,30.0,2,do zamieszkania,balkon,450,,miejskie,"os. Tysiąclecia 59, os. Oświecenia, Miśnieńska, ks. Kazimierza Jancarza, Wiślicka, Dobrego Pasterza, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
31,2195000,87.53,3,do zamieszkania,"balkon, ogródek",,garaż/miejsce parkingowe,gazowe,"ul. Vlastimila Hofmana, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
32,1100000,82.88,4,do remontu,balkon,469,garaż/miejsce parkingowe,miejskie,"ul. Senatorska, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
33,1650000,95.4,4,do wykończenia,"balkon, ogródek",,garaż/miejsce parkingowe,gazowe,"ul. Mieczysława Owcy-Orwicza, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
34,309000,31.8,2,do wykończenia,,,,kotłownia,"ul. Fatimska, Bieńczyce, Bieńczyce, Kraków, małopolskie"
35,714000,47.43,2,do zamieszkania,"balkon, taras",600,garaż/miejsce parkingowe,kotłownia,"ul. Malwowa, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
36,650000,45.39,2,do zamieszkania,,550,,miejskie,"os. Centrum B A, Nowa Huta, Nowa Huta, Kraków, małopolskie"
37,1438000,121.05,5,do wykończenia,taras,,garaż/miejsce parkingowe,,"ul. Władysława Łokietka, Tonie, Prądnik Biały, Kraków, małopolskie"
